,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
554,我图网,500-999人,上海,本科,3-5年,商业数据分析师,工作职责:1.基于公司用户运营、内容生产、产品改进等业务需求，能够从内部、外部提取数据，完成数据的提取、清洗、分析、验证，通过数据提炼分析观点，撰写分析报告。2.清晰认识公司的战略重点和业务方向，通过数据挖掘与探索，为运营、产品、市场、等提供商业决策的数据支持和建议3.负责数据分析体系的规划和建立，对用户进行分层；对接产品、运营、市场的数据分析需求，用数据辅助决策。4. 沉淀分析思路与框架，归纳数据产品需求，设计数据产品或其它工具，并具备一定的工具实施落地落能力，推动数据产品建设。任职资格：1. 本科及以上学历，数学、统计、金融、经济等相关专业优先。2. 3年以上互联网公司相关工作经验，拥有良好的数据分析思路并有有用户流数据建模经验。3. 熟练掌握Excel，懂得SQL，并至少掌握一种主流的统计分析工具： SAS/ R/Python/stata 等。4. 逻辑严谨细致，有探索精神，工作踏实认真，有较强的沟通推动能力。5. 有用户分层、用户行为流数据挖掘经验者优先。,16k-25k
555,信用算力,100-499人,上海,本科,1-3年,数据分析师,岗位职责：1、通过分析策略、模型、指标的区分能力、稳定性等贷后表现选择合适的策略、模型和指标。2、根据统计学原理和业务逻辑，清洗、加工、分析各类衍生指标用于风控模型和策略。3、分析客群特征分布并能提炼成人物画像。4、对建模分析人员所建的申请评分卡、行为评分卡、催收评分卡、额度模型等模型进行建模全流程的验证。5、对文本资料进行数据挖掘。任职要求：1、本科及以上学历，数学、统计、金融、计量等相关专业。2、具有较好的数理统计基础，熟练掌握SQL（必须），且至少具备Python、SAS、R等一种数据分析软件的编程能力。3、熟悉逻辑回归模型和CART决策树模型，以及申请评分卡、行为评分卡、催收评分卡的建模过程。同时熟悉XGBOOST、GBDT、随机森林、文本挖掘等算法者优先。4、2年以上数据分析工作经验，有互联网金融行业从业经验者优先。5、逻辑清楚，对数字敏感，能从海量数据中提炼出核心结果，具备独立编写数据分析报告的能力。,15k-30k
556,点融网,1000-9999人,上海,硕士,3-5年,高级数据分析师,岗位职责1、与产品，工程师，以及各运营，营销团队合作，收集数据需求，解读业务数据，提供对数据的分析报告支持业务决策；2、参与数据产品的需求设计，数据模型设计，提供多维度智能化分析；3、参与日常数据监控以及数据预警，发现问题并参与提供解决方案。岗位要求1、全日制本科及以上学历，计算机、金融或数据统计专业，有金融背景的技术控优先 ;2、3年以上数据分析相关经验；3、精通SQL，能使用SAS、SPSS、R等数据工具，具备数据模型工作经验者优先；4、熟练使用EXCEL各类函数及图表，有Tableau使用经验者优先；5、具有严谨的逻辑思维能力，优秀的学习能力、良好的语言表达能力；6、了解统计学常识，可以利用统计学相关知识服务于工作；7、有ETL经验者优先 。,25k-40k
557,智和信息,20-99人,上海,大专,1-3年,数据分析师,职位描述： 1， 有较强的团队意识，较强的沟通能力。2， 有两年以上的BI项目经验，一个完整的tableau项目开发经验。3， 精通SQL，熟悉至少一种数据库，MS SQL Server或Oracle为佳；4， 了解报表制作流程，能独立设计报表样式。具有一定的美工功底者优先。,8k-15k
558,正善牛肉,20-99人,上海,大专,1-3年,数据分析师,1、根据用户行为等数据进行业务分析，帮助业务快速提升；2、建设业务分析模型，不断评估和优化业务分析模型。3、支持业务上各种统计分析需求。职位要求：1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先；3、有一线产品或运营业务优化经验者优先；4、精通 SQL，熟练使用 R/Python 进行数据清洗、分析；5、能快速理解业务，发掘业务细节和数据之间的联系；6、掌握 Tableau 等 BI 工具尤佳。,8k-12k
559,哈啰出行,1000-9999人,上海,本科,3-5年,资深数据分析师,岗位职责:1. 根据公司产品和业务需求，利用数据挖掘等方法对多种数据源进行诊断分析，建立数据模型并持续优化，为公司运营决策、产品设计等方面提供数据支持；2. 负责项目的需求调研、专题分析，通过对数据的挖掘分析给业务方输出高质量的分析报告，为业务发展提供决策支持；3. 参与数据挖掘模型的构建、维护、部署和评估；任职要求:1. 统计相关专业，本科及以上学历2. 3年以上数据分析相关工作，互联网背景优先3. 熟练使用sql /hive/python/tableau4. 优秀的逻辑思考能力，对数据敏感，具有一定商业思维5. 熟练掌握聚类、回归模型、神经网络等机器学习算法,16k-30k
560,鑫车投资,1000-9999人,上海,本科,3-5年,风控数据分析师,1. 负责外部数据测试，包括业务数据的提取、逻辑校验分析、业务分析、政策建议、模型评估等，并撰写分析报告；2. 外部数据项目管理，包括内外部沟通，以对数据项目的实施进行跟踪挂管理；3. 外部数据政策影响评估及上线后监控；4. 根据对业务的深度理解，对数据进行深入挖掘和探索性分析；5. 外部数据问题跟踪管理；6. 完成领导交办的其他工作；7. 工作地点上海。 任职资格： 1. 熟悉车贷或个人信贷的风控业务；能熟练对该领域内外部数据进行深入分析、能够评估风控模型质量。2. 统招本科及以上学历，数学、统计学、数量经济学、运筹学、金融学、计算机相关专业等；3. 熟练使用SAS、Python、R至少一种进行数据处理及数据分析，使用时间至少一年以上；4. 熟练使用SQL语言及Excel；5、3年以上信贷领域数据分析经验，有互联网金融、汽车金融、银行、小贷等金融机构或公司数据分析经验优先；6. 优秀的逻辑思维、沟通能力及书面报告能力。,12k-18k
561,晋展,100-499人,上海,本科,经验不限,数据分析师,岗位职责1.梳理业务部门的分析需求，规划报表需求，实现日常数据可视化；2.跨部门沟通，负责所需数据的提取、查询、分析等工作，以满足业务需求；3.监控业务数据指标，发现问题或者漏洞，提出优化方案，并督导优化方案的执行；4.及时完成领导交办的其他任务。任职要求1.数学/统计或相关专业，统招本科及以上学历2.工作经验不限，有数据分析相关工作经验者优先；3.精通Excel，熟练使用SQL、SPSS，了解数据模型的的优先，4.踏实好学，热爱游戏者优先。,4k-6k
562,恩梯梯数据,500-999人,上海,本科,3-5年,数据分析工程师,岗位职责：1、	参与或主导安吉星大数据相关项目数据分析、业务分析、业务建模和数据建模；2、	针对业务场景及相关数据进行分析研究，有效洞察业务机会和瓶颈；3、	通过数据监控快速发现业务存在的问题，并经过深入分析为业务及产品部门提供高价值的应对策略和建议；4、	建立有效的业务分析框架体系（包括客户端、运营系统、合作伙伴等），并应用于业务5、	实施安吉星车联网大数据项目。任职要求：1、计算机相关专业本科及以上学历，5年以上工作经验，3年以上数据分析经验；2、精通数据建模、数据挖掘预测、领域建模、数据仓库等，具备良好的数据分析技能，抽象汇总能力并精确的分析复杂业务问题；3、精通SAS、SPSS、R、Oracle、ERWIN、Python等数据工具；4、精通业务领域数据分析，具有相关的大数据建模能力；5、熟悉CRM、SCM、客户精准营销等相关知识；6、熟悉MPP、Oracle、NoSQL、ETL、Hadoop数据库技术；7、积极主动、学习能力强、沟通能力强、肯吃苦耐劳；8、有车联网/互联网分布式大数据挖掘、BI、数据仓库开发实施经验者优先。,18k-25k
563,芝麻学社,100-499人,上海,本科,1-3年,数据分析挖掘工程师,"岗位描述：1.主要负责业务部门和产品的数据报表和指标，搭建数据分析平台和框架，同时从数据中发现问题，并给到优化相关建议；2 负责用户画像用户行为的需求分析，把握用户画像的建设方向，设计和构建基于用户行为特征的平台化画像服务能力，提供至各类产品提升转化/用户体验；3、数据挖掘和机器学习方法建立数据模型解决实际问题，构建项目预期，并与业务部门沟通合作推动数据模型在实际业务中落地，对业务实际效果完成分析闭环，并输出建议；4、与业务部门密切联系，根据业务需求，对数据进行提取、整合、分析，通过数据为产品、业务优化提供效果评估，为产品调整提供数据决策支持；任职要求： 1、全日制统招本科及以上学历，数学、统计学、计量经济学、数据挖掘等相关专业，两年以上数据分析或挖掘经验；2、有互联网电商行业数据分析经验，参与过比较完整的数据采集、整理、大数据建模分析、落地工作；3、熟悉编程语言（Java、Python）；4、熟练掌握数据挖掘方面的常用方法及算法技巧，能驾驭一些常见的算法，比如：回归分析/SVM/贝叶斯/决策树/聚类算法/推荐算法等；5、熟悉mysql, mongodb, elasticsearch,redis；6、分布式计算框架者优先，如hadoop，spark等优先；7、一线互联网公司数据分析挖掘项目开发经验优先。",15k-20k
564,我图网,500-999人,上海,本科,3-5年,产品数据分析师,岗位职责：1、市场研究行业及竞品信息搜集、政策与情报研究；对竞品的产品设计进行拆解、研究2、通过一定的用户研究方法、了解用户满意度、挖掘用户需求以改进或增加产品功能，提升用户体验3、跟踪后台数据，对关键性指标进行跟踪监测，对异常值进行分析。基于新功能点，构建后台数据模型并基于此优化产品性能。4、产品需求的产出、设计跟踪及市场验证；5、分析报告、产品需求及业务方案撰写；6、业务资源整合及评估、实施。与设计、产品、运营、技术沟通协调推进项目实施，把控项目进度和质量，对项目结果负责。任职要求：1、3年及以上互联网行业经验，具有敏锐市场嗅觉；2、具有较强分析能力及思维逻辑；3、较强沟通表达能力，与技术、设计及运营人员能够充分做好信息传递表达；4、高于特定业务的思想高度。5、熟悉产品设计、交互设计的相关软件，如axure、墨刀者优先加分项：1、了解交互、设计、产品经理岗位职责及相关工作内容的优先考虑；2、大型公司用户体验部门相关从业人员3、热爱摄影行业者可先参考摄图网；,15k-25k
565,数策股份,100-499人,上海,本科,经验不限,数据分析师,职位要求：1.熟练掌握excel操作，有一定数据分析工作经验2.学习能力强，工作会涉及到全新软件学习3.逻辑能力强，语义理解能力优秀，了解汽车行业知识优先4.自驱力强，善于沟通工作描述：1.负责文本建模具体规则梳理2.负责文本模型数据测试及运维3.负责配合文本建模师完成建模规划4.文本模型开源算法研究5.配合其他项目工作,2k-3k
566,威佩网络,100-499人,上海,本科,1-3年,数据分析师,岗位职责:1. 负责开发并维护数据分析系统；2. 负责新数据挖掘与数据产品开发；3. 支持产品业务需求，提供数据模型推进产品设计。任职资格:1. 2年以上大数据系统/平台相关工作经验，能够独立完成数据模型的设计与开发；2. 有游戏数值策划、数据挖掘或数据分析相关开发经验（语言不限）；3. DOTA2或LOL核心玩家、csgo或ow的核心玩家，最好两者皆是者优先；4.对电竞用户观赛需求有深入的理解者优先；5.有分布式系统开发经验更优；6.有游戏客户端破解经验优先。,10k-20k
567,饿了么,1000-9999人,上海,硕士,1-3年,商业数据分析,职位描述：1. 负责用户端的数据分析和项目决策。2. 对接产品、运营部门，通过数据分析归纳策略方案，来提高用户拉新、转化、扩量、留存。3. 搭建主题性的指标体系，并负责数据报表建设，撰写数据分析报告。4. 帮助团队其他伙伴在业务和能力发展方面共同成长。                                                                                    任职要求：1. 计算机、数学、统计学、信息技术，社会科学、工程等与数理统计、应用统计、计算编程相关的专业硕士及以上学历，有互联网相关、咨询相关行业数据分析3年以上工作经历； 2. 了解hadoop，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS/Tableau、PPT等工具； 3. 优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，搭建整个数据分析体系；4. 通过专题/项目分析，对业务进行深入分析，提供有效的策略建议，并能推动策略方案落地；5. 熟悉产品功能及业务数据，了解各数据逻辑关系，通过数据分析及数据报表的搭建，发现问题并快速需求解决方案；6. 优秀的沟通能力和项目管理能力，强大的自驱力和抗压力，具备分享精神，能带动小伙伴们一起提高。,20k-30k
568,上海深界信息科技,0-20人,上海,大专,1-3年,数据分析师,"岗位职责：1.独立完成制作和维护上级领导及各部门的日常报表2.协助完成完成数据监控，数据报表的线上同步及后期维护3.负责汇总，统计催收人员绩效考虑数据，确保及时，准确4.根据公司实际业务要求，完成较深入的专项数据分析并形成数据报告5.支持各部门的数据需求，持续跟踪业务数据，监测发展趋势，为业务指标异常提供预警，监测和解读任职要求：1.大专及以上学历，计算机，应用数学，统计学，经济学相关专业优先2.2年以上数据分析或挖掘经验，有，银行，信贷，电商，互联网行业经验者优先3.熟练使用办公软件Office,MYSQL,熟悉Hive,Python,SAS,R者优先4.具有良好的沟通，表达能力，具备独立思考，分析问题的能力",10k-15k
569,Gocapture,20-99人,上海,本科,1-3年,数据分析师,"大数据分析师职位描述：1.  运用数据挖掘和机器学习方法和技术，深入挖掘和分析海量商业数据，开发数据产品2.  应用统计建模方法，开发各类分析方法及模型工具，以实现对业务的深入分析；3.  不断完善和优化算法，以技术驱动公司业务成长，体现技术价值。4.  数据挖掘模型设计，包括但不限于风控模型、用户画像、商家画像建模、文本分析和商业预测等。5.  负责数据分析产品的需求分析、流程设计和开发进度控制6.  可独立完成分析报告内容，提供基于数据分析的咨询报告和组织创新方案。岗位要求1.  3年以上移动互联网产品数据分析/数据挖掘/用户行为研究相关工作经验；2.  具有丰富的数据清洗、分析和数据仓库建模的项目实践经验；3.  具备大数据的处理能力，掌握SQL server/My SQl、Hive数据提取语言，熟练操作excel、SAS/SPSS/R、PPT等统计分析和汇报软件4.  熟悉Linux开发环境，熟悉Java, 熟悉python者优先5.  英文读写流利，可写英文分析报告6.  具有团队精神和服务意识，工作认真踏实、责任心强，能够承受一定的工作压力；7.  统计、数学、信息技术、计算机等相关专业本科及以上学历",12k-24k
570,平安付,1000-9999人,上海,本科,3-5年,资深数据分析师,1）建立用户监测体系，完成从业务需求理解到报表前端展示全过程处理，综合分析思路沉淀为数据产品2）建立部门各业务综合评价体系，搭建业务数据分析体系，引导业务进行数据化运营3）深入挖掘用户服务数据，分析用户行为特征偏好，对产品和运营提供数据决策支持4）支持部门常规性数据分析，寻找业务增长点，对用户特性、用户行为做专题报告。,15k-30k
571,Datatist,20-99人,上海,硕士,1-3年,数据分析师,工作职责：1.      清晰认识公司的战略重点和业务方向，通过数据挖掘与探索，为运营、产品、市场、用户营销等提供商业决策的数据支持和建议。2.      深入分析历史数据，结合业务动态及外部环境，预测公司的核心业务数据走向。3.      通过专题分析，对业务问题进行深入分析，及时发现运营及产品问题，为业务运营决策、销售策略、产品方案提供数据支持，给出分析报告。4.      根据业务需求通过SQL等数据查询语言快速准确进行数据提取和处理，为决策提供数据支撑。5.      对初级团队人员进行培训和指导，与其他商业分析师一起，发现行业运营机会点和问题。岗位要求：1.      硕士及以上学历接受1年左右相关工作经历，本科学历需要有3年以上相关经验；2.      熟练使用sql，熟悉各种数据技术平台，例如：hadoop、mysql等，能高效的与数据技术团队进行沟通；3.      熟练独立编写数据分析报告，及时发现和分析其中隐含的变化和问题；熟练使用excel/ppt；4.      具有商业意识，对商业数据敏感度高，对商业竞争敏感，了解互联网常用的数据分析和数据运营的方法和思路；5.      具有数据建模功底，掌握时间序列分析、预测分析能力，会使用R/python中至少一个工具；6.      有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先；7.      具备良好的沟通能力，项目协调以及客户管理能力，具备熟练讲解方案与产品的能力以及现场应变能力。,8k-16k
572,哈步数据,20-99人,上海,本科,3-5年,数据分析师,工作职责： 1.负责理解业务需求，运用ETL和数据回答客户提出的问题2.深入理解业务，通过数据分析提炼有价值的洞察并通过数据可视化等方式深入浅出的呈现出来3.负责或者辅助进行项目管理、需求搜集和面对客户4.负责分析和算法的文档编写任职要求1.	具有统计学、计量经济学、计算机、商科等专业的本科及以上学位2.须熟练掌握任意一种SQL，会R语言或者Python优先3.具有数据分析和数据可视化的经验，有能通过数据讲故事的能力4.自我驱动能力，对新技术有强烈求知欲和学习能力5.良好的团队沟通和客户沟通能力，有乙方项目管理经验的优先6.适应中短期出差,15k-30k
573,介末数据,20-99人,上海,本科,1-3年,数据分析师,岗位职责1、 根据具体的业务目的及需求（通常由业务或产品岗位提供），设计并执行数据挖掘计划。2、 维护公司指定业务条线的数据治理方案。3、 为公司日常运营提供数据化预测及改善方案。任职条件1、 必备技能：Hive、SQL、R、SAS 、Python任二熟练或精通；2、 基本掌握：常见机器学习算法，包括但不限决策树、随机森林、线性回归、K-Means、朴素贝叶斯；3、 熟悉数据仓库基本理论，熟悉数据仓库系统建设过程，及项目过程中数据建模、mapping、ETL、前端展示等工作；熟悉UNIX/LINUX系统；4、 对主流ETL工具（DataStage.Informatica）、展现工具（COGNOS、BO、TABLEU）任一种有所掌握，如有多项技能掌握者优先；5、 加分项：a) 具有作为核心成员参加数据类大赛的得奖经历（Kaggle、KDD等）b) 理工科硕士以上学历c) 国内211学府就学经历,15k-20k
574,哲乘,20-99人,上海,本科,3-5年,数据分析师,1、熟悉互联网广告媒体；2、擅长数字营销数据分析；3、熟悉互联网数字传播技术和需求；4、对品牌传播和营销有深入了解；5、熟悉digital广告业务者优先；6、熟练掌握对比、分组、交叉、因素、矩阵关联、回归、聚类、因子、对应、时间列序等分析方法；7、熟练掌握数据分析相关的工具；8、熟悉算法模型搭建；9、能设计出各类图表表现出分析结果，让结果一目了然；10、本科以上学历；,8k-15k
575,联动原素,0-20人,上海,本科,经验不限,数据分析助理,临时工（100元/天）：1、在规定时间内完成数据整理信息；部分信息现有，部分需要查找。（可在家完成）长期工（150元/天）：1、招募活动现场执行人员，需要在现场协助维持秩序及其他领导安排事宜。要求：1、专、本科物联网相关专业；最好是大三、大四学生。2、能认真负责的完成所交代的工作。,1k-2k
576,信用飞,100-499人,上海,硕士,经验不限,数据分析实习生,【岗位职责】1、通过体验同类产品，了解竞品的风控流程设计、产品实现方式、风险防范手段等，并出具相应体验和分析报告；通过竞品分析能对自家信贷产品的风控流程、风险防范手段、产品设计等提供一些意见或建议；2、负责小额信贷风控数据的分析，及时准确的完成各项分析需求，对信贷风控数据进行深入剖析，为风控决策及策略应用提供数据支持；3、负责风控策略实施和效果的监控分析，定期对各项风险规则进行监控，分析数据异常原因，并及时反馈和解决；4、完成上级领导分配的其它工作。 【任职要求】1、全日制本科及以上学历的在校生，计算机、应用数学、金融数学、统计学等相关专业优先；2、能熟练使用至少一种分析工具，如SAS、SQL、Python、R等；3、对互联网金融和信贷风险有一定了解和认知；4、具备良好的沟通能力、分析和解决问题的能力、逻辑性强、有较强的奉献精神；5、有过互金行业相关数据分析或风控策略经验的优先。,3k-5k
577,芃屹  ,20-99人,上海,本科,3-5年,数据分析师,岗位职能：1. 负责海量数据监控和分析，结合数据产品或者业务的规划，设计主题和策略， 从数据层面进行深度分析和数据挖掘；                                                                                     2.主要负责征信评分模型的建立和研发管理，结合客户的属性及行为数据，运用量化分析，识别和度量产品业务存在的风险，建立风险和信用的计量模型 ；3. 学习能力强，深入理解公司业务方向和战略，根据对市场环境和业务的了解，独立承担复杂分析任务，对业务问题进行深入分析，为公司业务决策、运营组织、产品方向、销售策略、服务支持等提供数据支持，能对关键分析思路形成分析报告 ；4. 配合其他团队成员对多种数据源进行深度分析、挖掘、深度分析和建模；5. 负责数据建模工作，参与数据仓库、数据集市的建设，并推动业务部门的数据化管理和运营。6. 深入理解业务和用户，基于数据透析业务发展，寻找特定主题的问题根源或者挖掘关联性，并推动原有算法或者模型的迭代，给出明确的指导意见。岗位要求：1. 统计、数学、信息技术、计算机等本科以上学历，2年以上相关工作经历；2. 有丰富的数据分析、挖掘、清洗和建模的经验，能独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题 ；3. 熟悉数据库技术，熟练运用SQL，能高效的与技术团队进行沟通，掌握SAS/SPSS/R等分析工具；4. 熟悉Hadoop，对Hive、map/reduce等有一定的了解应用；5. 丰富的客户数据模型建立和分析经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目；6. 学习能力强，能快速学习新技术新知识，并能结合日常工作很好的运用；                                   7. 有网贷或互金行业数据分析工作经验者优先。,10k-20k
578,速尔快递,1000-9999人,上海,学历不限,经验不限,数据分析专员,岗位职责：1 负责统计每日网点业务量完成情况、未及时录入签收情况数据，进行排名并通报；2 负责定期收集、整理省区仲裁时效延误率、签收率等相关报表；3 负责定期收集质控、仲裁罚款数据以及未及时录入签收数据，进行原因分析；4 其他工作（临时性数据分析等）。任职要求：1、大专及以上学历，如数据经验较充足可放宽学历；2、需要能熟练操作数据透视表，对EXCEL的函数有基本的了解，会熟练使用EXCEL函数的更佳；3、需要会PPT制作；4、服从领导安排，有上进心，工作积极主动。晋升机制:专业路线：①初级专业人才→中级专业人才→高级专业人才→专业/业务专家管理路线：②专员→副主管→主管→副经理→经理→副总监→总监,3k-5k
579,内求信息技术（上...,20-99人,上海,本科,5-10年,数据分析师,1、参与或主导大数据相关项目数据分析、业务分析、业务建模和数据建模；   2、针对业务场景及相关数据进行分析研究，有效洞察业务机会和瓶颈；    3、通过数据监控快速发现业务存在的问题，并经过深入分析为业务及产品部门提供高价值的应对策略和建议；4、建立有效的业务分析框架体系（包括客户端、运营系统、合作伙伴等），并应用于业务；    5、实施车联网大数据项目。任职要求：    1、计算机相关专业本科及以上学历，5年以上工作经验，3年以上数据分析经验；    2、精通数据建模、数据挖掘预测、领域建模、数据仓库等，具备良好的数据分析技能，抽象汇总能力并精确的分析复杂业务问题；3、精通SAS、SPSS、R、Oracle、ERWIN、Python等数据工具；   4、精通业务领域数据分析，具有相关的大数据建模能力；5、熟悉CRM、SCM、客户精准营销等相关知识；6、熟悉MPP、Oracle、NoSQL、ETL、Hadoop数据库技术；    7、积极主动、学习能力强、沟通能力强、肯吃苦耐劳；    8、有车联网/互联网分布式大数据挖掘、BI、数据仓库开发实施经验者优先。,15k-25k
580,WiFi万能钥匙,1000-9999人,上海,本科,5-10年,数据分析师-电商,岗位职责:1. 基于基础分析理论与行业实践，针对业务情况，搭建出可以准确反映业务运作状况的数据指标体系；2. 与业务、产品团队紧密配合，挖掘业务&产品问题，通过数据分析，为快速、精准、智能的业务决策、产品迭代、运营策略提供数据支持；3. 整理、提炼、优化数据分析报告，实现数据的指标化、可视化、自助化，方便业务&产品团队使用数据任职资格:1. 数学、计算机、统计学等相关专业学士以上学历，5年以上相关工作经历；2. 有扎实的分析理论基础，精通常见的数据分析模型的使用场景、参数调整方法;3. 精通Excel，熟悉hadoop、Hive、R、Spark等，有丰富的数据分析、挖掘、清洗和建模的经验；4. 对数据和业务敏感，有丰富的互联网业务的数据分析经验；5. 具备良好的抗压能力、学习能力、沟通能力和团队精神；,25k-35k
581,中世通征信,100-499人,上海,大专,1-3年,资深数据分析师,"1、搭建公司各产品线自动化报表体系2、数据提炼、分析、归纳用户属性、行为等信息，完成分析结果；3、处理用户海量数据，挖掘用户行为特征，为产品、运营提供参考依据；4、针对具体业务问题，研究影响用户的潜在因素，进行数据分析验证并提出改善举措；5、参与各业务部门的重点项目，负责从数据的角度给出决策建议；5、将通过数据分析报表发现的问题，与商务、风控、产品、研发团队协同，搭建数据监控机制；6、有自主搭建数据仓库（中间层、宽表）经验者优先任职要求：1、本科及以上学历，数学、统计、计算机、金融等相关专业，有互联网或金融行业数据分析经验者优先；2、熟练掌握office、MYSQL、tableau等技能 ,会Python 、Hadoop、hive 、图数据库等加分；3、有1-3年数据分析，数据可视化经验，较强的数据敏感性；4、较强的逻辑思维，良好的数学、统计学功底，对于数据领域的需求，能够提供深入的解决方案；5、有高度的责任心，能较好的协调处理与外部以及公司其它部门之间的关系。6、 精通数理统计，掌握常用数据挖掘方法，例如：线性回归，逻辑回归，决策树分群，聚类、关联分析、SVM，贝叶斯等；7、 对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，优秀的数据思维和强烈的数据决策意识，且思维缜密，做事认真严谨；8、 有较强的人际沟通、协调能力，具备与相关人员沟通数据需求的能力；",15k-25k
582,连咖啡,100-499人,上海,本科,5-10年,资深数据分析师,职位描述：1.深刻理解业务逻辑，通过数据分析手段，协助业务部门完成业务目标；2.构建数据分析体系和数据思维框架，为决策层提供专题分析报告和策略建议；3.具备产品思维，为业务部门提供数据服务的同时，通过数据产品为业务部门赋能。任职要求：1.从事商业数据分析工作5年以上，具有良好的沟通能力、逻辑分析能力；2.数学、统计学、计算机、信息技术等相关专业，精通SQL，熟练使用python或者R的一种，熟悉数据仓库系统；3.掌握常规的商业分析方法，从事过新零售、餐饮连锁相关行业的优先。,25k-35k
583,辰德网络科技,100-499人,上海,本科,1-3年,数据分析员,岗位职责：1、收集各项财务数据、业务数据，建立行业经营状况数据库；2、搜集、整理、分析行业各项信息与数据，建立相应明细报表及综合分析统计报表，据此提交行业研究、评估和预测；3、建立完善的商品数据库，为后期数据统计工作提供支持；4、每日、每周、每月提供销售与库存数据分析；5、其他上级临时交付的工作任务。任职资格：1. 本科以上学历，理工科专业；2. 两年以上电子商务运营或价格策略运营相关工作经验；3. 具有较好的数据分析能力，熟练运用数据库工具（MS SQL）；4. 具备强烈的责任心、主动性，具备优秀的执行力、沟通协调、分析理解、逻辑思维能力；5. 具备一定的领导力，能够组织、领导团队，目标导向，志在必胜。,6k-8k
584,正吾资产,0-20人,上海,本科,经验不限,数据分析师,,10k-20k
585,我图网,500-999人,上海,硕士,3-5年,数据分析（平台）,,15k-25k
586,国民健康科技,100-499人,上海,本科,1-3年,数据分析工程师,,20k-30k
587,广东电信设计院,1000-9999人,上海,本科,1-3年,数据分析（分析岗）,,7k-12k
588,韦曝斯,20-99人,上海,学历不限,1-3年,数据分析师,,5k-10k
589,中国指数研究院,500-999人,上海,硕士,1-3年,分析师（数据分析方向）,,7k-13k
590,美至科技,20-99人,上海,本科,1年以内,数据分析师,,10k-15k
591,Bingrun,20-99人,上海,本科,3-5年,数据分析师,,15k-20k
592,北风网,100-499人,上海,大专,1-3年,数据分析师讲师,,10k-15k
593,鑫车投资,1000-9999人,上海,本科,3-5年,风控数据分析师(J13913),,10k-15k
594,百趣生物,100-499人,上海,本科,经验不限,数据分析,,6k-8k
595,边锋,500-999人,上海,本科,3-5年,游戏数据分析师,,15k-25k
596,Innotech,500-999人,上海,本科,5-10年,数据分析师（高级/资深）,,20k-39k
597,Gshopper,100-499人,上海,本科,1-3年,产品数据分析师,,8k-15k
598,盈尺网络,20-99人,上海,大专,1-3年,数据分析师,,8k-16k
599,Datatist,20-99人,上海,硕士,3-5年,高级数据分析师,,10k-20k
600,芃屹  ,20-99人,上海,大专,1-3年,数据分析员,,10k-18k
601,介末数据,20-99人,上海,本科,1-3年,BI数据分析师,,10k-15k
602,树融科技,20-99人,上海,硕士,3-5年,高级数据分析师,,20k-40k
603,玖数软件,20-99人,上海,本科,5-10年,数据分析咨询顾问,,10k-20k
604,奕尚网络,100-499人,上海,本科,1-3年,电商数据分析师,,7k-12k
605,传智播客,1000-9999人,上海,本科,3-5年,python数据分析及机器学习讲师,,20k-40k
606,维信金科,1000-9999人,上海,本科,1-3年,数据分析师（建模方向）,,9k-12k
607,金仕达卫宁,100-499人,上海,本科,1年以内,临床数据分析,,8k-14k
608,源杉科技,20-99人,上海,本科,应届生,数据分析师助理,,4k-5k
609,点启资产,0-20人,上海,本科,1-3年,数据分析师,,4k-5k
610,传音控股,10000人以上,上海,硕士,3-5年,数据分析师,数据分析师岗位职责：1、负责新闻、广告等产品的数据分析工作，及各项指标的持续监控，并为产品和业务决策提供依据。2、以数据来驱动新闻/广告等产品改进，建立数据分析模型/流程规范。3、参与大数据分析系统的架构设计/优化及实施。3、快速响应产品/运营等部门的数据支撑需求。岗位要求：1、计算机及电子，自动化，统计，数学相关专业本科以上学历。2、良好的逻辑思维能力，有较强的沟通能力和逻辑表达能力。3、熟悉Hive、Hadoop及相关Hadoop生态圈者优先;熟悉Java/Scala/Python等至少一门编程语言者优先。4、两年以上互联网数据分析经验者优先，有完整的数据建模或机器学习项目经验者优先。另有算法工程师职位，大数据工程师职位，敬请留意。,15k-30k
611,云迹科技,100-499人,上海,本科,3-5年,机器人数据分析工程师,岗位职责：1.负责机器人数据的收集分析相关工作2.数据收集处理、报表展示等系统的开发和维护任职要求:1.本科及以上学历，计算机相关专业2.3年以上工作经验3.精通Linux平台下的c/c++/java/python等至少一种开发4.精通mysql 数据库，能熟练进行sql查询优化5.熟练使用Linux操作系统，熟悉常用的Shell命令6.熟悉数据挖掘相关原理与算法优先7.熟悉elasticsearch/solr/lucene优先8.有大数据相关经验，熟悉mapreduce等计算框架优先,10k-15k
