,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
10,怡和科技,1000-9999人,北京,本科,3-5年,BI数据分析师,"岗位职责：1、	负责帮客户开发大数据、BI报表和可视化项目，整合CRM、SAP、ERP、WiFi、物联网等数据源，开发报表、Tableau仪表盘和数据挖掘；2、	帮助客户设计不同的指标和报表，来实现业务、库存、生产、用户等数字化运营和考核。有针对性地提出如何用数据仓库和BI帮助客户解决实际问题的方案；3、	和客户深度沟通，理解客户的业务挑战，落实到每个指标的来源、处理和呈现，提供有洞察力的报表和仪表盘。4、	开发出真正能帮助客户解决实际问题的报表。面对数据缺失、质量缺陷、计算逻辑不明等情况下，主动向客户求助，共同想办法解决，积极推动项目前进。任职资格：1、有一定的数据分析基础，优先考虑有Tableau, PowerBI，Qlikview、eView等经验的人；2、掌握一或几种编程语言： SQL,Python, R, Java等3、以下专业： 统计、数学、物理、经济学、计算机、自控、电子、通信、交通；4、喜欢咨询事业，能接受15-25%的出差。",12k-18k
11,联想集团,10000人以上,北京,本科,经验不限,初级数据分析专员,岗位职责：负责项目数据分析处理。岗位要求：1.全日制本科及以上学历，有数据分析工作经验优先；2.逻辑性强，对数据敏感；3.熟练使用excel；4.英文读写流利。工作地点：北京市朝阳区望京东路4号院恒电大厦C座工作时间：9:00-18:00,5k-7k
12,滴滴出行,10000人以上,北京,本科,3-5年,数据分析师,职位描述1，基于数据分析，辅助业务管理团队科学决策，协助团队商业目标的达成;2，构建业务分析体系，监控运行状况;针对重点问题深入分析，定位问题，提供解决问题的建议;3，将业务数据体系抽象成数据产品，提升数据产出的效率，优化数据使用方式，推动团队”数据驱动”的能力。任职要求1，本科及以上学历，3年以上数据分析经验，具有知名互联网背景，商科与理工科复合背景优先;2，对商业及其运行规律有较好的理解和思考;3，较强的结构化和逻辑思考能力，严谨缜密;4，熟悉SQL，EXCEL，PPT等软件。,25k-50k
13,有利网,10000人以上,北京,本科,1-3年,BI数据分析师,"工作职责：1.	基于对产品和业务深入理解的基础上，独立承担数据运营分析工作，为业务和产品提供数据决策和策略支持，分析方向包括但不限于行业分析、竞对动态、用户运营分析、活动运营分析、市场运营效果、经营分析、收益管理等；2.	参与数据分析呈现设计，核心指标挖掘，完成集团运营、市场、产品、财务等数据指标开发；3.	根据产品需求，通过对数据仓库中的抽取和转化完成运营类型的数据产品的开发，并进行业务层面的应用；4.	负责业务的数据工作，包括业务指标管理、元数据维护、数据监控、需求对接、数据提取、协调ETL团队完成中间表建设、日常数据报表产出等5.	完成数据仓库的建设和基于数据仓库的报表开发；6.	负责根据项目要求和现有平台情况制定合理的架构和实现方式；岗位要求：1.	数学、计算机、统计、经济、金融等相关专业本科以上学历2.	3年以上BI及数据仓库架构经验，具有业务建模能力；3.	练使用SQL，熟悉至少一种数据库软件，如：mysql、greenplum等,能够在Linux环境下进行开发；4.	熟悉BI系统报表开发的常用方法及框架，了解一般的数据可视化方法；5.	熟悉BI系统的权限设置方法；6.	熟练使用常用的MVC、ORM框架；7.	熟悉HTML/CSS/Javascript等前端技术优先；8.	熟练编写脚本语言base/python/perl相关经验者优先;9.	有PowerBI、Tableau、Superset、echart开发使用经验的优先。10.	具备优秀的业务理解能力，对数字敏感，有较强逻辑分析能力。",15k-30k
14,Boss直聘,1000-9999人,北京,硕士,1-3年,数据分析师,通过数据分析打磨产品,20k-40k
15,互连众信,1000-9999人,北京,本科,1-3年,数据分析专员,1、对每日数据进行收集、加工、管理、并制作日报、周报；2、对于每日、每周、每月的业务数据进行分析，完成分析报告，对舆情进行预警；3、对每个考核月的资产质量，回款率进行分析、排名，更新催收产品模型，提高催收能力；4、按时完成领导临时分配的任务。 任职要求：1、本科及以上学历，211 985 优先，数学，统计专业优先，有至少一年的工作经验2、熟练使用各种Excel公式，对SQL数据库有一定的使用经验，掌握数据库使用技巧，对数字敏感；3、性格踏实、稳定、有创新精神、工匠精神。,5k-10k
16,北京尚德机构,10000人以上,北京,本科,5-10年,数据分析经理,"岗位职责:1.建立运营数据分析模型，针对效率、预算分析、成本、库存等进行监控和统计；2.通过数据分析、监控和日常数据挖掘，提供相应的运营建议，并推动改善；3.进行数据分析和评估，梳理数据进行日、周、月报数据报告输出；4.跟踪诊断各环节运营数据情况，为业务运营提供决策支持、提供策略并推动落地；5.通过数学模型进行，仓储效率、成本、库存等分析挖掘；6.针对运营团队整体KPI考核及情况制定对应绩效考核方案并跟踪绩效考核实施；7.团队内部进行数据分析专业知识培训，配合部门及上级完成相关工作任务；8. 定期进行数据分析报告撰写及数据汇报工作。任职资格:1.应用数学、统计学、电子商务、计算机等相关专业背景，本科及以上学历，5年以上数据分析工作经验；2.具备良好的沟通能力和表达能力，能够独立开展业务调研、数据分析、报告编写工作；3.有较强的数据敏感度，良好的沟通协调能力，能承受一定的工作压力；4.具有专业的业务研究、分析能力，根据业务数据变化及时发现问题的能力；5.能精通操作Excel、Powerpoint等软件，熟悉至少一种数据库，熟悉SQL/运用SAS、SPSS等专业统计分析工具；6. 较强的工作主动性及抗压能力，工作细致耐心，有责任感,有较强的保密意识，团队合作意识强。7. 熟悉数据挖掘常用算法优先，有互联网工作经验者优先。",20k-40k
17,滴滴出行,10000人以上,北京,本科,3-5年,数据分析,工作职责：1.基于业务逻辑，建立业务数据模型，为团队提供反映产品和运营状况的数据报表；2.持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读；3.深入理解AB实验，熟悉评估AB实验的理论方法，推动基于AB实验的策略迭代；4.结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。任职资格：1.对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；2.有互联网工作经验，对互联网产品和服务兴趣浓厚；3.受过统计学训练，了解基本的统计理论和常见的统计模型，有一定的数据库基础，熟练使用sql；4.熟练使用excel、R或Python等数据分析和统计分析工具；5.有数据建模、Abtest经验优先；统计、数学专业优先；以及编程能力较强者优先。,28k-45k
18,便利蜂,1000-9999人,北京,本科,3-5年,数据分析师,岗位职责：1、负责对应业务的数据的监控，持续跟踪业务数据，监测业务发展态势，及时跟进业务异动2、建立业务分析框架体系，为管理层决策和各业务策略提供有质量的数据支持，并在数据层面上给出定性的业务解读3、根据业务形态和分析，逐渐积累可供业务产品使用的数据模型逻辑，组织跨部门协调沟通，推进产品及运营实施，确保产品及运营不断完善；4、处理业务相关的复杂专题性需求，并对于常用重要需求转化成例行性监控报表及数据产品任职要求：1、本科及以上学历，统计学、数学、计算机专业，2年以上数据分析相关经验优先2、具有较强的商业敏感度和数据分析技能，能够运用创新且实际的分析方法以解决复杂的商业问题3、熟练掌握SQL，熟悉常用数据统计和分析方法4、对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强,15k-30k
19,绫致时装,10000人以上,北京,本科,3-5年,数据分析师/Data Analyst,岗位职责：1.参与业务部门需求调研和临时数据分析需求的调研、分析、实现及相关业务规则的培训2.制定、管理流程及规则、确保数据的正确性和完整性，监控数据质量并及时纠正错误数据3.解答用户日常问题4.整理编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支持5.对产品部门下的运营，产品，研发，市场销售等各方面的数据分析，处理和研究的工作需求职位要求：1.	本科或以上学历，计算机、数学或相关专业；2年及以上BI/Data Analyst/Data Steward相关工作经验2.精通SQL语句，对SQL查询优化有丰富的经验，熟悉PL/SQL，TSQL3.精通Excel表格的数据处理技巧，数据透析等4.熟悉编写商业数据数据分析报告，支持运营，产品，研发，市场销售等改进及新模式的探索5.熟悉常用的报表开发工具（如：Tableau、BO、PowerBI），并能独立开发分析报表6.擅长数据模型、指标体系、预测及趋势经验者优先7.具备强烈的进取心、求知欲及团队合作精神，有较强的沟通及协调能力， 能带领小团队进行开发。,15k-25k
